S. No.,INSTITUTE NAME,INSTITUTE TYPE,FW,BRANCH,NATIONALPLAYER,OPENING JEE COMMON RANK,CLOSING JEE COMMON RANK,ALLOTTED CATEGORY,DOMICILE,TOTAL ALLOTTED
1488,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,EI,,663238,663238,UR/FF/OP,Y,1
1489,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,EI,,229393,229393,UR/NCC/OP,Y,1
1490,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,EI,,106596,113174,UR/S/OP,Y,2
1491,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,EI,,52471,75770,UR/X/F,Y,11
1492,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,EI,,18612,66132,UR/X/OP,Y,27
1493,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,"Electronics and
Telecommunications",,48405,54065,EWS,Y,11
1494,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,Y,"Electronics and
Telecommunications",,35972,50938,FW/OP,Y,5
1495,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,"Electronics and
Telecommunications",,113058,113058,OBC/S/F,Y,1
1496,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,"Electronics and
Telecommunications",,69888,74719,OBC/X/F,Y,3
1497,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,"Electronics and
Telecommunications",,52972,64284,OBC/X/OP,Y,11
1498,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,"Electronics and
Telecommunications",,229669,275829,SC/X/F,Y,4
1499,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,"Electronics and
Telecommunications",,170610,233511,SC/X/OP,Y,13
1500,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,"Electronics and
Telecommunications",,495850,972913,ST/X/F,Y,4
1501,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,"Electronics and
Telecommunications",,419865,733397,ST/X/OP,Y,18
1502,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,"Electronics and
Telecommunications",,188228,188228,UR/FF/OP,Y,1
1503,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,"Electronics and
Telecommunications",,355373,355373,UR/S/F,Y,1
1504,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,"Electronics and
Telecommunications",,57224,57224,UR/S/OP,Y,1
1505,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,"Electronics and
Telecommunications",,50150,64969,UR/X/F,Y,12
1506,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,"Electronics and
Telecommunications",,28976,51416,UR/X/OP,Y,27
1507,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,125781,174465,EWS,Y,11
1508,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,Y,IP,,73262,136361,FW/OP,Y,5
1509,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,195646,239524,OBC/X/F,Y,3
1510,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,144558,171639,OBC/X/OP,Y,12
1511,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,372667,538992,SC/X/F,Y,4
1512,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,386920,861092,SC/X/OP,Y,35
1513,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,208541,411068,UR/S/OP,Y,2
1514,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,135499,176836,UR/X/F,Y,11
1515,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,91937,144021,UR/X/OP,Y,30
1516,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,40132,45949,EWS,Y,15
1517,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,Y,IT,,32611,40630,FW/OP,Y,6
1518,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,179161,179161,OBC/D/OP,Y,1
1519,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,95647,95647,OBC/S/OP,Y,1
1520,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,56023,62979,OBC/X/F,Y,5
1521,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,40724,44348,OBC/X/OP,Y,13
1522,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,829304,829304,SC/S/OP,Y,1
1523,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,192913,207074,SC/X/F,Y,6
1524,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,138841,208450,SC/X/OP,Y,16
1525,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,313486,569565,ST/X/F,Y,7
1526,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,275643,466773,ST/X/OP,Y,22
1527,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,159559,159559,UR/D/OP,Y,1
1528,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,133071,133071,UR/FF/F,Y,1
1529,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,890723,890723,UR/NCC/F,Y,1
1530,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,236210,236210,UR/S/F,Y,1
1531,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,60005,76482,UR/S/OP,Y,2
1532,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,12019,52059,UR/X/F,Y,14
1533,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,28578,39976,UR/X/OP,Y,37
1534,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,81209,87388,EWS,Y,11
1535,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,Y,MECH,,70106,82702,FW/OP,Y,5
1536,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,95881,95881,OBC/S/OP,Y,1
1537,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,110484,118063,OBC/X/F,Y,3
1538,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,91930,99323,OBC/X/OP,Y,11
1539,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,370271,505253,SC/X/F,Y,4
1540,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,266902,381006,SC/X/OP,Y,13
1541,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,706296,1082508,ST/X/F,Y,4
1542,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,546279,1408525,ST/X/OP,Y,18
1543,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,587749,587749,UR/S/F,Y,1
1544,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,192041,192041,UR/S/OP,Y,1
1545,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,70802,98679,UR/X/F,Y,10
1546,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,66129,89873,UR/X/OP,Y,30
1547,"Shri Guru Sandipani Institute of Technology & Science, Ujjain
(2009)",private,N,CE,,941002,1426044,UR/X/OP,,2
1548,"Shri Guru Sandipani Institute of Technology & Science, Ujjain
(2009)",private,N,CSE,,1342751,1342751,EWS,,1
1549,"Shri Guru Sandipani Institute of Technology & Science, Ujjain
(2009)",private,Y,CSE,,1266852,1266852,FW/OP,,1
1550,"Shri Guru Sandipani Institute of Technology & Science, Ujjain
(2009)",private,N,CSE,,157797,1464891,UR/X/OP,,21
1551,"Shri Guru Sandipani Institute of Technology & Science, Ujjain
(2009)",private,N,MECH,,1076046,1076046,UR/X/OP,,1
1552,"Shri Ram College of Engineering & Management, Banmore (1998)",private,Y,AIML,,1277078,1436731,FW/OP,,2
1553,"Shri Ram College of Engineering & Management, Banmore (1998)",private,Y,CSE,,1088647,1359850,FW/OP,,5
1554,"Shri Ram College of Engineering & Management, Banmore (1998)",private,N,CSE,,660019,1268233,UR/X/OP,,2
1555,"Shri Ram College of Engineering & Management, Banmore (1998)",private,Y,MECH,,469873,598996,FW/OP,,2
1556,"Shri Ram College of Engineering & Management, Banmore (1998)",private,N,MECH,,1083585,1083585,UR/X/OP,,1
1557,"Shri Ram Group of Institution (Faculty of Engineering, Pharmacy,
MBA, MCA), Jabalpur (2009)",private,N,CE,,808534,1466678,UR/X/OP,,7
1558,"Shri Ram Group of Institution (Faculty of Engineering, Pharmacy,
MBA, MCA), Jabalpur (2009)",private,Y,CSE,,301873,953690,FW/OP,,9
1559,"Shri Ram Group of Institution (Faculty of Engineering, Pharmacy,
MBA, MCA), Jabalpur (2009)",private,N,CSE,,449410,1471203,UR/X/OP,,21
1560,"Shri Ram Group of Institution (Faculty of Engineering, Pharmacy,
MBA, MCA), Jabalpur (2009)",private,N,CSEAIADS,,560875,560875,EWS,,1
1561,"Shri Ram Group of Institution (Faculty of Engineering, Pharmacy,
MBA, MCA), Jabalpur (2009)",private,Y,CSEAIADS,,914918,989835,FW/OP,,3
1562,"Shri Ram Group of Institution (Faculty of Engineering, Pharmacy,
MBA, MCA), Jabalpur (2009)",private,N,CSEAIADS,,447112,1428294,UR/X/OP,,7
1563,"Shri Ram Group of Institution (Faculty of Engineering, Pharmacy,
MBA, MCA), Jabalpur (2009)",private,Y,EC,,828444,1053439,FW/OP,,2
1564,"Shri Ram Group of Institution (Faculty of Engineering, Pharmacy,
MBA, MCA), Jabalpur (2009)",private,N,EC,,624174,1441083,UR/X/OP,,7
1565,"Shri Ram Group of Institution (Faculty of Engineering, Pharmacy,
MBA, MCA), Jabalpur (2009)",private,N,EE,,1030227,1298876,UR/X/OP,,2
1566,"Shri Ram Group of Institution (Faculty of Engineering, Pharmacy,
MBA, MCA), Jabalpur (2009)",private,N,MECH,,615085,615085,UR/X/OP,,1
1567,"Shri Ram Institute of Science & Technology, Jabalpur (2007)",private,N,CSE,,142206,142206,EWS,,1
1568,"Shri Ram Institute of Science & Technology, Jabalpur (2007)",private,Y,CSE,,111328,731672,FW/OP,,9
1569,"Shri Ram Institute of Science & Technology, Jabalpur (2007)",private,N,CSE,,575654,1473090,UR/X/OP,,35
1570,"Shri Ram Institute of Science & Technology, Jabalpur (2007)",private,N,CSEIML,,1166623,1258735,EWS,,2
1571,"Shri Ram Institute of Science & Technology, Jabalpur (2007)",private,Y,CSEIML,,351817,840203,FW/OP,,8
1572,"Shri Ram Institute of Science & Technology, Jabalpur (2007)",private,N,CSEIML,,494452,1474875,UR/X/OP,,25
1573,"Shri Ram Institute of Science & Technology, Jabalpur (2007)",private,Y,CSEITCS,,615450,903999,FW/OP,,3
1574,"Shri Ram Institute of Science & Technology, Jabalpur (2007)",private,N,CSEITCS,,675244,1461074,UR/X/OP,,10
1575,"Shri Ram Institute of Technology, Jabalpur (2001)",private,Y,CE,,1049842,1049842,FW/OP,,1
1576,"Shri Ram Institute of Technology, Jabalpur (2001)",private,N,CE,,715950,1443675,UR/X/OP,,4
1577,"Shri Ram Institute of Technology, Jabalpur (2001)",private,Y,CEng,,326173,640624,FW/OP,,3
1578,"Shri Ram Institute of Technology, Jabalpur (2001)",private,N,CEng,,903223,1360671,UR/X/OP,,5
1579,"Shri Ram Institute of Technology, Jabalpur (2001)",private,N,CSBS,,291954,291954,UR/X/OP,,1
1580,"Shri Ram Institute of Technology, Jabalpur (2001)",private,Y,CSE,,297533,540782,FW/OP,,12
1581,"Shri Ram Institute of Technology, Jabalpur (2001)",private,N,CSE,,153696,1468040,UR/X/OP,,78
1582,"Shri Ram Institute of Technology, Jabalpur (2001)",private,Y,CSEIML,,250356,578265,FW/OP,,8
1583,"Shri Ram Institute of Technology, Jabalpur (2001)",private,N,CSEIML,,510189,1472722,UR/X/OP,,50
1584,"Shri Ram Institute of Technology, Jabalpur (2001)",private,Y,EC,,783006,1137015,FW/OP,,6
1585,"Shri Ram Institute of Technology, Jabalpur (2001)",private,N,EC,,273330,1471593,UR/X/OP,,11
1586,"Shri Ram Institute of Technology, Jabalpur (2001)",Private,Y,EE,,831393,1260657,FW/OP,,2
1587,"Shri Ram Institute of Technology, Jabalpur (2001)",Private,N,EE,,1003045,1012720,UR/X/OP,,2
1588,"Shri Ram Institute of Technology, Jabalpur (2001)",private,Y,MECH,,1105745,1383075,FW/OP,,2
1589,"Shri Ram Institute of Technology, Jabalpur (2001)",private,N,MECH,,973646,1448297,UR/X/OP,,6
1590,"SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND
MANAGEMENT (SRKCESM), SATNA",private,N,CSE,,639367,639367,UR/X/OP,,1
1591,"Srajan Institute of Tech., Management & Science, Ratlam (2009)",private,Y,CSE,,361042,795553,FW/OP,,2
1592,"Srajan Institute of Tech., Management & Science, Ratlam (2009)",private,N,EV,,1248689,1248689,UR/X/OP,,1
1593,"Sri Aurobindo Institute of Technology, Indore (2009)",private,N,CSE,,1252939,1252939,EWS,,1
1594,"Sri Aurobindo Institute of Technology, Indore (2009)",private,Y,CSE,,190416,775849,FW/OP,,9
1595,"Sri Aurobindo Institute of Technology, Indore (2009)",private,N,CSE,,250971,1455438,UR/X/OP,,30
1596,"Sri Aurobindo Institute of Technology, Indore (2009)",private,Y,CSEIML,,441953,550118,FW/OP,,3
1597,"Sri Aurobindo Institute of Technology, Indore (2009)",private,N,CSEIML,,187866,1442099,UR/X/OP,,17
1598,"Sri Aurobindo Institute of Technology, Indore (2009)",private,N,EC,,86541,749372,UR/X/OP,,2
1599,"St. Aloysius Institute of Technology, Jabalpur (2009)",private,N,AIML,,503021,827590,UR/X/OP,,2
1600,"St. Aloysius Institute of Technology, Jabalpur (2009)",private,Y,CSE,,1020283,1340541,FW/OP,,2
1601,"St. Aloysius Institute of Technology, Jabalpur (2009)",private,N,CSE,,800483,1318513,UR/X/OP,,3
1602,"Sushila Devi Bansal College of Engineering, Indore (2006)",private,Y,CE,,1224029,1224029,FW/OP,,1
1603,"Sushila Devi Bansal College of Engineering, Indore (2006)",private,N,CSE,,797568,797568,EWS,,1
1604,"Sushila Devi Bansal College of Engineering, Indore (2006)",private,Y,CSE,,316718,720896,FW/OP,,9
1605,"Sushila Devi Bansal College of Engineering, Indore (2006)",private,N,CSE,,1426751,1426751,UR/X/OP,,1
1606,"Sushila Devi Bansal College of Engineering, Indore (2006)",private,N,CSEDS,,1189352,1189352,EWS,,1
1607,"Sushila Devi Bansal College of Engineering, Indore (2006)",private,Y,CSEDS,,520239,770215,FW/OP,,3
1608,"Sushila Devi Bansal College of Engineering, Indore (2006)",private,N,CSEDS,,558114,1470408,UR/X/OP,,11
1609,"Sushila Devi Bansal College of Engineering, Indore (2006)",private,N,CSEIML,,1448727,1448727,EWS,,1
1610,"Sushila Devi Bansal College of Engineering, Indore (2006)",private,Y,CSEIML,,200164,413508,FW/OP,,3
1611,"Sushila Devi Bansal College of Engineering, Indore (2006)",private,N,CSEIML,,763432,1446810,UR/X/OP,,18
1612,"Sushila Devi Bansal College of Engineering, Indore (2006)",private,Y,MECH,,533885,566916,FW/OP,,2
1613,"Sushila Devi Bansal College of Technology, indore (2005)",Private,Y,CE,,595026,775591,FW/OP,,2
1614,"Sushila Devi Bansal College of Technology, indore (2005)",Private,N,CE,,1424660,1471762,UR/X/OP,,2
1615,"Sushila Devi Bansal College of Technology, indore (2005)",private,N,CSE,,735949,1364147,EWS,,3
1616,"Sushila Devi Bansal College of Technology, indore (2005)",private,Y,CSE,,182748,539282,FW/OP,,9
1617,"Sushila Devi Bansal College of Technology, indore (2005)",private,N,CSE,,552004,1474921,UR/X/OP,,84
1618,"Sushila Devi Bansal College of Technology, indore (2005)",private,Y,EC,,652813,843941,FW/OP,,2
1619,"Sushila Devi Bansal College of Technology, indore (2005)",private,N,EC,,354140,1147210,UR/X/OP,,3
1620,"Sushila Devi Bansal College of Technology, indore (2005)",private,N,IT,,1049272,1049272,EWS,,1
1621,"Sushila Devi Bansal College of Technology, indore (2005)",private,Y,IT,,478592,821718,FW/OP,,6
1622,"Sushila Devi Bansal College of Technology, indore (2005)",private,N,IT,,949821,1417446,UR/X/OP,,7
1623,"Sushila Devi Bansal College of Technology, indore (2005)",private,N,MECH,,789395,1473988,UR/X/OP,,3
1624,"Swami Vivekanand College of Engineering, Indore (2004)",private,N,CSE,,1026739,1422686,EWS,,4
1625,"Swami Vivekanand College of Engineering, Indore (2004)",private,Y,CSE,,285423,832210,FW/OP,,9
1626,"Swami Vivekanand College of Engineering, Indore (2004)",private,N,CSE,,188659,1473805,UR/X/OP,,33
1627,"Swami Vivekanand College of Engineering, Indore (2004)",private,Y,EC,,1042436,1170546,FW/OP,,2
1628,"Swami Vivekanand College of Engineering, Indore (2004)",private,N,EC,,1097902,1097902,UR/X/OP,,1
1629,"Swami Vivekanand College of Engineering, Indore (2004)",private,Y,IT,,880155,1126032,FW/OP,,6
1630,"Swami Vivekanand College of Engineering, Indore (2004)",private,N,IT,,1075709,1286874,UR/X/OP,,3
1631,"Takshshila Institute of Engineering & Technology, Jabalpur (2004)",private,Y,CSE,,413840,1310228,FW/OP,,4
1632,"Takshshila Institute of Engineering & Technology, Jabalpur (2004)",private,N,CSE,,1378969,1408250,UR/X/OP,,2
1633,"Takshshila Institute of Engineering & Technology, Jabalpur (2004)",private,N,ELECT ELEX,,335708,335708,EWS,,1
1634,"Technocrats Institute of Technology & Science, Bhopal (2007)",private,N,CSE,,721542,721542,EWS,,1
1635,"Technocrats Institute of Technology & Science, Bhopal (2007)",private,Y,CSE,,368949,827826,FW/OP,,9
1636,"Technocrats Institute of Technology & Science, Bhopal (2007)",private,N,CSE,,462499,1459226,UR/X/OP,,45
1637,"Technocrats Institute of Technology & Science, Bhopal (2007)",private,Y,CSEAI,,610245,899485,FW/OP,,3
1638,"Technocrats Institute of Technology & Science, Bhopal (2007)",private,N,CSEAI,,527467,1472448,UR/X/OP,,3
1639,"Technocrats Institute of Technology & Science, Bhopal (2007)",private,Y,CSEIML,,573066,1032194,FW/OP,,9
1640,"Technocrats Institute of Technology & Science, Bhopal (2007)",private,N,CSEIML,,623267,1400948,UR/X/OP,,3
1641,"Technocrats Institute of Technology & Science, Bhopal (2007)",private,Y,EC,,903605,1278073,FW/OP,,2
1642,"Technocrats Institute of Technology (Excellence), Bhopal (2007)",private,N,CE,,1203210,1217759,UR/X/OP,,2
1643,"Technocrats Institute of Technology (Excellence), Bhopal (2007)",private,N,CSE,,838186,1397691,EWS,,8
1644,"Technocrats Institute of Technology (Excellence), Bhopal (2007)",private,Y,CSE,,441654,888564,FW/OP,,18
1645,"Technocrats Institute of Technology (Excellence), Bhopal (2007)",private,N,CSE,,177713,1468865,UR/X/OP,,95
1646,"Technocrats Institute of Technology (Excellence), Bhopal (2007)",private,Y,CSEAI,,906500,1071897,FW/OP,,3
1647,"Technocrats Institute of Technology (Excellence), Bhopal (2007)",private,N,CSEAI,,537140,703007,UR/X/OP,,4
1648,"Technocrats Institute of Technology (Excellence), Bhopal (2007)",private,Y,CSECS,,882859,1108945,FW/OP,,3
1649,"Technocrats Institute of Technology (Excellence), Bhopal (2007)",private,N,CSECS,,1013807,1433788,UR/X/OP,,4
1650,"Technocrats Institute of Technology (Excellence), Bhopal (2007)",private,N,CSEIML,,764470,1393014,EWS,,8
1651,"Technocrats Institute of Technology (Excellence), Bhopal (2007)",private,Y,CSEIML,,535726,1007936,FW/OP,,9
1652,"Technocrats Institute of Technology (Excellence), Bhopal (2007)",private,N,CSEIML,,164814,1473444,UR/X/OP,,81
1653,"Technocrats Institute of Technology (Excellence), Bhopal (2007)",private,Y,EC,,1463360,1463360,FW/OP,,1
1654,"Technocrats Institute of Technology (Excellence), Bhopal (2007)",private,N,EC,,895286,1189800,UR/X/OP,,2
1655,"Technocrats Institute of Technology, Bhopal (2000)",private,N,CE,,848658,848658,UR/X/OP,,1
1656,"Technocrats Institute of Technology, Bhopal (2000)",private,N,CSE,,531327,1166605,EWS,,11
1657,"Technocrats Institute of Technology, Bhopal (2000)",private,Y,CSE,,188399,432422,FW/OP,,12
1658,"Technocrats Institute of Technology, Bhopal (2000)",private,N,CSE,,199531,1462315,UR/X/OP,,101
1659,"Technocrats Institute of Technology, Bhopal (2000)",private,Y,CSEAI,,250576,627619,FW/OP,,6
1660,"Technocrats Institute of Technology, Bhopal (2000)",private,N,CSEAI,,1060886,1407659,UR/X/OP,,3
1661,"Technocrats Institute of Technology, Bhopal (2000)",private,N,CSEAIADS,,759261,1266811,EWS,,7
1662,"Technocrats Institute of Technology, Bhopal (2000)",private,Y,CSEAIADS,,281093,540195,FW/OP,,6
1663,"Technocrats Institute of Technology, Bhopal (2000)",private,N,CSEAIADS,,541090,1471418,UR/X/OP,,34
1664,"Technocrats Institute of Technology, Bhopal (2000)",private,Y,CSEDS,,463903,725654,FW/OP,,9
1665,"Technocrats Institute of Technology, Bhopal (2000)",private,N,CSEDS,,1117189,1354027,UR/X/OP,,4
1666,"Technocrats Institute of Technology, Bhopal (2000)",private,N,CSEIML,,686033,1429302,EWS,,11
1667,"Technocrats Institute of Technology, Bhopal (2000)",private,Y,CSEIML,,423816,556303,FW/OP,,12
1668,"Technocrats Institute of Technology, Bhopal (2000)",private,N,CSEIML,,433864,1457948,UR/X/OP,,84
1669,"Technocrats Institute of Technology, Bhopal (2000)",private,N,EC,,1265202,1265202,EWS,,1
1670,"Technocrats Institute of Technology, Bhopal (2000)",private,Y,EC,,570362,846652,FW/OP,,3
1671,"Technocrats Institute of Technology, Bhopal (2000)",private,N,EC,,372832,1260102,UR/X/OP,,6
1672,"Technocrats Institute of Technology, Bhopal (2000)",private,N,ELECT ELEX,,775950,775950,EWS,,1
1673,"Technocrats Institute of Technology, Bhopal (2000)",private,Y,ELECT ELEX,,980760,1185182,FW/OP,,3
1674,"Technocrats Institute of Technology, Bhopal (2000)",private,N,ELECT ELEX,,1058508,1058508,UR/X/OP,,1
1675,"Technocrats Institute of Technology, Bhopal (2000)",private,Y,IT,,508326,638125,FW/OP,,6
1676,"Technocrats Institute of Technology, Bhopal (2000)",private,N,IT,,675885,1326604,UR/X/OP,,10
1677,"Technocrats Institute of Technology, Bhopal (2000)",private,Y,MECH,,1321423,1321423,FW/OP,,1
1678,"Technocrats Institute of Technology, Bhopal (2000)",private,N,MECH,,857691,1455463,UR/X/OP,,3
1679,"TECHNOCRATS INSTITUTE OF TECHNOLOGY-COMPUTER SCIENCE
AND ENGINEERING, BHOPAL",private,N,CSE,,913786,1208435,EWS,,2
1680,"TECHNOCRATS INSTITUTE OF TECHNOLOGY-COMPUTER SCIENCE
AND ENGINEERING, BHOPAL",private,Y,CSE,,429447,836236,FW/OP,,9
1681,"TECHNOCRATS INSTITUTE OF TECHNOLOGY-COMPUTER SCIENCE
AND ENGINEERING, BHOPAL",private,N,CSE,,530814,1340711,UR/X/OP,,8
1682,"TECHNOCRATS INSTITUTE OF TECHNOLOGY-COMPUTER SCIENCE
AND ENGINEERING, BHOPAL",private,N,CSEIML,,1421316,1421316,EWS,,1
1683,"TECHNOCRATS INSTITUTE OF TECHNOLOGY-COMPUTER SCIENCE
AND ENGINEERING, BHOPAL",private,Y,CSEIML,,472588,849010,FW/OP,,3
1684,"TECHNOCRATS INSTITUTE OF TECHNOLOGY-COMPUTER SCIENCE
AND ENGINEERING, BHOPAL",private,N,CSEIML,,807645,1392286,UR/X/OP,,4
1685,"Thakur Shiv Kumar Singh Memorial Engineering College,
Burhanpur (2011)",private,N,CE,,1286722,1286722,UR/X/OP,,1
1686,"Thakur Shiv Kumar Singh Memorial Engineering College,
Burhanpur (2011)",private,N,CSE,,1084627,1422009,EWS,,4
1687,"Thakur Shiv Kumar Singh Memorial Engineering College,
Burhanpur (2011)",private,Y,CSE,,331336,565944,FW/OP,,5
1688,"Thakur Shiv Kumar Singh Memorial Engineering College,
Burhanpur (2011)",private,N,CSE,,608866,1473124,UR/X/OP,,86
1689,"Thakur Shiv Kumar Singh Memorial Engineering College,
Burhanpur (2011)",private,N,EE,,983563,1304879,UR/X/OP,,3
1690,"Thakur Shiv Kumar Singh Memorial Engineering College,
Burhanpur (2011)",private,N,MECH,,1043148,1043148,UR/X/OP,,1
1691,"Truba Institute of Engineering & Information Technology, Bhopal
(2001)",private,N,AIADS,,630583,630583,UR/X/OP,,1
1692,"Truba Institute of Engineering & Information Technology, Bhopal
(2001)",private,N,CSE,,852604,1015407,UR/X/OP,,2
1693,"UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG.
COLLEGE ESTB. IN 1966)",GOVT,N,CE,,297400,518032,EWS,Y,3
1694,"UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG.
COLLEGE ESTB. IN 1966)",GOVT,Y,CE,,436929,487390,FW/OP,Y,2
1695,"UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG.
COLLEGE ESTB. IN 1966)",GOVT,N,CE,,613316,613316,OBC/X/F,Y,1
1696,"UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG.
COLLEGE ESTB. IN 1966)",GOVT,N,CE,,561837,684998,OBC/X/OP,Y,4
1697,"UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG.
COLLEGE ESTB. IN 1966)",GOVT,N,CE,,1197647,1197647,SC/X/F,Y,1
1698,"UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG.
COLLEGE ESTB. IN 1966)",GOVT,N,CE,,615739,1194484,SC/X/OP,Y,4
1699,"UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG.
COLLEGE ESTB. IN 1966)",GOVT,N,CE,,685594,685594,ST/X/F,Y,1
1700,"UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG.
COLLEGE ESTB. IN 1966)",GOVT,N,CE,,698711,1349094,ST/X/OP,Y,6
1701,"UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG.
COLLEGE ESTB. IN 1966)",GOVT,N,CE,,311740,608813,UR/X/F,Y,4
1702,"UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG.
COLLEGE ESTB. IN 1966)",GOVT,N,CE,,166650,201796,UR/X/OP,AI,2
1703,"UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG.
COLLEGE ESTB. IN 1966)",GOVT,N,CE,,194984,543187,UR/X/OP,Y,11
1704,"UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG.
COLLEGE ESTB. IN 1966)",GOVT,N,CHEM,,410689,819765,EWS,Y,7
