S. No.,INSTITUTE NAME,INSTITUTE TYPE,FW,BRANCH,NATIONALPLAYER,OPENING JEE COMMON RANK,CLOSING JEE COMMON RANK,ALLOTTED CATEGORY,DOMICILE,TOTAL ALLOTTED
1001,"Millenium Institute of Technology and Science, Bhopal (2007)",private,N,CSE,,778580,778580,UR/X/OP,,1
1002,"Millenium Institute of Technology, Bhopal (2009)",private,N,AIADS,,220152,220152,EWS,,1
1003,"Millenium Institute of Technology, Bhopal (2009)",private,N,AME,,396787,616409,UR/X/OP,,2
1004,"Mittal Institute of Technology, Bhopal (2007)",private,Y,CSE,,1063641,1063641,FW/OP,,1
1005,"Nowgong Engineering College, Nowgong (NEC) (2012)",GOVT,N,CE,,368330,1311196,EWS,Y,2
1006,"Nowgong Engineering College, Nowgong (NEC) (2012)",GOVT,N,CE,,1088821,1088821,UR/X/F,Y,1
1007,"Nowgong Engineering College, Nowgong (NEC) (2012)",GOVT,N,CE,,252525,303157,UR/X/OP,AI,3
1008,"Nowgong Engineering College, Nowgong (NEC) (2012)",GOVT,N,CE,,552727,1266811,UR/X/OP,Y,8
1009,"Nowgong Engineering College, Nowgong (NEC) (2012)",GOVT,N,EE,,1189020,1189020,EWS,Y,1
1010,"Nowgong Engineering College, Nowgong (NEC) (2012)",GOVT,N,EE,,825749,825749,UR/X/F,Y,1
1011,"Nowgong Engineering College, Nowgong (NEC) (2012)",GOVT,N,EE,,195385,249017,UR/X/OP,AI,3
1012,"Nowgong Engineering College, Nowgong (NEC) (2012)",GOVT,N,EE,,428687,975504,UR/X/OP,Y,3
1013,"Nowgong Engineering College, Nowgong (NEC) (2012)",GOVT,N,EI,,216004,225117,UR/X/OP,AI,3
1014,"Nowgong Engineering College, Nowgong (NEC) (2012)",GOVT,N,MECH,,241643,286265,UR/X/OP,AI,3
1015,"Nowgong Engineering College, Nowgong (NEC) (2012)",GOVT,N,MECH,,732324,1327620,UR/X/OP,Y,2
1016,"NRI Institute of Information Science & Technology, Bhopal (2001)",private,Y,CSE,,687147,1305682,FW/OP,,6
1017,"NRI Institute of Information Science & Technology, Bhopal (2001)",private,N,CSE,,215467,1449832,UR/X/OP,,7
1018,"NRI Institute of Information Science & Technology, Bhopal (2001)",private,Y,CSEIML,,453477,1247207,FW/OP,,5
1019,"NRI Institute of Information Science & Technology, Bhopal (2001)",private,N,CSEIML,,339482,1458315,UR/X/OP,,3
1020,"NRI Institute of Information Science & Technology, Bhopal (2001)",private,N,CSIT,,683286,1392308,UR/X/OP,,8
1021,"NRI Institute of Information Science & Technology, Bhopal (2001)",private,N,EC,,1249648,1249648,UR/X/OP,,1
1022,"NRI Institute of Information Science & Technology, Bhopal (2001)",private,N,IT,,621523,1446325,UR/X/OP,,4
1023,"NRI Institute of Information Science & Technology, Bhopal (2001)",private,N,MECH,,940905,940905,UR/X/OP,,1
1024,"NRI Institute of Research & Technology, Bhopal (2008)",private,N,CSE,,1190510,1190510,EWS,,1
1025,"NRI Institute of Research & Technology, Bhopal (2008)",private,N,CSE,,652143,803903,UR/X/OP,,2
1026,"NRI Institute of Research & Technology, Bhopal (2008)",private,N,CSECS,,727520,1438719,UR/X/OP,,4
1027,"NRI Institute of Research & Technology, Bhopal (2008)",Private,N,MINING,,654274,1433614,UR/X/OP,,3
1028,"Oriental College of Technology, Bhopal (2002)",private,Y,CE,,960471,960471,FW/OP,,1
1029,"Oriental College of Technology, Bhopal (2002)",private,N,CE,,811230,1465311,UR/X/OP,,6
1030,"Oriental College of Technology, Bhopal (2002)",private,N,CSE,,447142,1453402,EWS,,26
1031,"Oriental College of Technology, Bhopal (2002)",private,Y,CSE,,201417,415183,FW/OP,,15
1032,"Oriental College of Technology, Bhopal (2002)",private,N,CSE,,173778,1474985,UR/X/OP,,182
1033,"Oriental College of Technology, Bhopal (2002)",private,N,CSECS,,1209989,1209989,EWS,,1
1034,"Oriental College of Technology, Bhopal (2002)",private,Y,CSECS,,266110,510494,FW/OP,,3
1035,"Oriental College of Technology, Bhopal (2002)",private,N,CSECS,,596271,1453865,UR/X/OP,,14
1036,"Oriental College of Technology, Bhopal (2002)",private,N,CSEDS,,1139640,1139640,EWS,,1
